AfdId,SelId,Navn,Postby
1,1,Afd. 1  Pal. Müllers Vej/Jens Baggesens Vej,8210
2,1,Afd. 2 Haugesundsvej m.fl.,8200
3,1,Afd. 3 Viggo Stuckenbergs Vej,8210
4,1,Afd. 4 H.V. Kaalunds Vej / Chr. Molbechs Vej,8000
5,1,Afd. 5 Otto Benzons Vej /Viggo Stuckenbergs Vej,8210
6,1,Afd. 6 Risvang Allé / Bethesdavej,8200
7,1,Afd. 7 Vestre Ringgade,8000
8,1,Afd. 8 Vilh. Bergsøes Vej  / Peter Fabers Vej,8210
9,1,Afd. 9 Trøjborgvej,8200
10,1,Afd. 10 Sæterstien m.fl.,8200
11,1,Afd. 11 Helge Rodes Vej,8210
12,1,Afd. 12 Majdalen,8210
13,1,Afd. 13 Hammershusvej,8210
14,1,Afd. 14 Aldersrovej,8200
15,1,Afd. 15 Otto Benzons Vej m.fl.,8210
16,1,Afd. 16 Hammershusvej,8210
17,1,Afd. 17 Kongsvang,8260
18,1,Afd. 18 Trøjborgvej,8200
19,1,Afd. 19 Tamperdalsvej,8210
20,1,Afd. 20 Randersvej m.fl.,8200
21,1,Afd. 21 Paludan-Müllers Vej/Finlandsgade,8200
22,1,Afd. 22 Illerupvej,8200
23,1,Afd. 23 Nydamsparken,8200
24,1,Afd. 24 Kirkedammen,8000
25,1,Afd. 25 Reginehøjvej,8200
26,1,Afd. 26 Vestre Ringgade/Gustav Wieds Vej,8000
27,1,Afd. 27 Frydenlund,8210
28,1,Afd. 28 Lindholmparken,8200
29,1,Afd. 29 Kalmargade,8200
30,1,Afd. 30 Nørreskovvej,8382
31,1,Afd. 31 Rydevænget,8210
32,1,Afd. 32 Nørreskovvej,8382
33,1,Afd. 33 Vestre Ringgade/Gustav Wieds Vej,8000
34,1,Afd. 34 Salonikivej,8530
35,1,Afd. 35 Skelagervej,8200
36,1,Äfd. 36 Hallssti,8000
37,1,Afd. 37 Istedgade,8000
38,1,Afd. 38 Visbjerg Hegn,8320
39,1,Afd. 39 Attikavej,8530
40,1,Afd. 41 Viruplund,8530
41,1,Afd. 42 Hjelmagerparken,8541
42,1,Afd. 43 Mosevænget,8450
43,1,Afd. 44 Hjulby Hegn,8380
44,1,Afd. 45 Torpevænget /Kappelvænget,8210
45,1,Afd. 46 Vistoftparken,8471
46,1,Afd. 47 Julsøvej,8240
47,1,Afd. 48 Skæring Parkvej,8250
48,1,Afd. 49 Fredensgade,8000
49,1,Afd. 50 Brendstrupvej,8200
50,1,Afd. 51 Fredericiagade,8000
51,1,Afd. 52 Viborgvej,8210
52,1,Afd. 53 Julsøvej,8240
53,1,Afd. 54 Norsgade,8000
54,1,Afd. 55 Skæring Parkvej,8250
55,1,Afd. 56 Katrinebjergvej,8200
56,1,Afd. 57 Åvænget,8250
57,1,Afd. 58 Ranunkelvej,8471
58,1,Afd. 59 Høegh-Guldbergs Gade,8000
59,1,Afd. 60 Paludan-Müllers Vej,8200
60,1,Afd. 61 Paludan-Müllers Vej,8200
61,1,Afd. 62 Skejbyparken,8200
62,1,Afd. 63 Skæring Parkvej,8250
63,1,Afd. 67 Hørretløkken,8320
64,1,Afd. 69 Ryttervej,8450
65,1,Afd. 70 Ranunkelvej,8471
66,1,Afd. 71 Damgårdstoften,8320
67,1,Afd. 72 Rønnevangen,8471
68,1,Afd. 73 Virup Skovvej,8530
69,1,Afd. 75 Herningvej 1,8000
70,2,Afd. 01 Præstehaven,8210
71,2,Afd. 02 Præstehaven,8210
72,2,Afd. 03 Ryhaven,8210
73,2,Afd. 05 Rosengården,8000
74,2,Afd. 06 Bispehaven,8210
75,2,Afd. 09 Rønnehegnet,8381
76,2,Afd. 10 Neptunvej,8270
77,2,Afd. 11 Holbergsgade,8000
78,2,Afd. 12 Bymosevej,8210
79,2,Afd. 13 Wilstersgade,8000
80,2,Afd. 14 Tuestensvej,8381
81,2,Afd. 15 Stavnsvej,8381
82,2,Afd. 16 Rytoften,8210
83,2,Afd. 19 Tronkærgårdsvej,8541
84,2,Afd. 20 Marienlyst,8200
85,2,Afd. 22 Bjørholms Alle,8260
