SelId,Navn,Tlf,Email
1,Boligkontoret Århus,87393939,udlejning@bk-aarhus.dk
2,Østjysk Boligadministration,86156688,udlejning@ojba.dk
3,AL2bolig,87459191,info@AL2bolig.dk
4,Boligforeningen 10. marts 1943,86211255,bo43@vejlby-bf.dk
5,Brabrand Boligforening,89317171,tilbud@bbbo.dk
6,Boligforeningen Ringgården,88303050,udlej@bf-ringgaarden.dk
7,AlmenBo-Aarhus,89382000,post@almenbo-aarhus.dk
8,Beder-Malling Boligforening,70279797,udlejning@domi-admin.dk
9,Boligforeningen Århus Omegn,,udlejning@boaarhusomegn.dk
10,Alboa,87406700,udlejning@alboa.dk
11,Arbejdernes Andels Boligforening,89313131,Tilbud@aabaarhus.dk
