AfdId,SelId,Lejemaalstype,Lejlighedstype,Rum,AntalPaaVenteliste
1,1,Familieboliger,Lejlighed,2,3205
1,1,Familieboliger,Lejlighed,3,3409
2,1,Familieboliger,Rækkehus,4,5866
3,1,Familieboliger,Lejlighed,1,2606
3,1,Familieboliger,Lejlighed,2,3894
3,1,Familieboliger,Lejlighed,3,3021
3,1,Familieboliger,Lejlighed,4,2046
4,1,Familieboliger,Lejlighed,1,3181
4,1,Familieboliger,Lejlighed,2,3827
4,1,Familieboliger,Lejlighed,3,11636
4,1,Familieboliger,Lejlighed,4,3194
5,1,Familieboliger,Lejlighed,1,3540
5,1,Familieboliger,Lejlighed,2,3430
5,1,Familieboliger,Lejlighed,3,2941
5,1,Familieboliger,Lejlighed,4,2238
6,1,Familieboliger,Rækkehus,2,3457
6,1,Familieboliger,Rækkehus,3,5437
6,1,Familieboliger,Rækkehus,4,11378
7,1,Familieboliger,Lejlighed,2,4085
7,1,Familieboliger,Lejlighed,3,11266
7,1,Familieboliger,Lejlighed,4,3275
8,1,Familieboliger,Lejlighed,1,1329
8,1,Familieboliger,Lejlighed,2,2560
8,1,Familieboliger,Lejlighed,3,1961
9,1,Familieboliger,Lejlighed,3,4096
9,1,Familieboliger,Lejlighed,4,3334
10,1,Familieboliger,Rækkehus,4,5945
11,1,Familieboliger,Lejlighed,1,5948
11,1,Familieboliger,Lejlighed,2,7718
11,1,Familieboliger,Lejlighed,3,6410
11,1,Familieboliger,Lejlighed,4,4956
12,1,Familieboliger,Lejlighed,2,2237
12,1,Familieboliger,Lejlighed,3,2166
12,1,Familieboliger,Lejlighed,4,1563
13,1,Familieboliger,Lejlighed,1,2400
13,1,Familieboliger,Lejlighed,2,10383
13,1,Familieboliger,Lejlighed,3,6164
13,1,Familieboliger,Lejlighed,4,1978
14,1,Familieboliger,Lejlighed,1,4198
14,1,Familieboliger,Lejlighed,2,4196
14,1,Familieboliger,Lejlighed,3,3903
15,1,Familieboliger,Lejlighed,1,3288
15,1,Familieboliger,Lejlighed,2,8796
15,1,Familieboliger,Lejlighed,3,3367
15,1,Familieboliger,Lejlighed,4,2175
16,1,Familieboliger,Lejlighed,1,1827
16,1,Familieboliger,Lejlighed,2,10179
16,1,Familieboliger,Lejlighed,3,9189
16,1,Familieboliger,Lejlighed,4,1538
17,1,Familieboliger,Lejlighed,1,1570
17,1,Familieboliger,Lejlighed,2,1923
17,1,Familieboliger,Lejlighed,3,6063
17,1,Familieboliger,Lejlighed,4,3022
18,1,Familieboliger,Lejlighed,3,9414
18,1,Familieboliger,Lejlighed,4,3554
18,1,Familieboliger,Lejlighed,5,1969
19,1,Familieboliger,Lejlighed,1,2432
19,1,Familieboliger,Lejlighed,2,2609
19,1,Familieboliger,Lejlighed,3,2505
19,1,Familieboliger,Lejlighed,4,1503
20,1,Familieboliger,Lejlighed,1,2617
20,1,Familieboliger,Lejlighed,2,2738
20,1,Familieboliger,Lejlighed,3,3044
20,1,Familieboliger,Lejlighed,4,2260
21,1,Familieboliger,Lejlighed,3,4992
21,1,Familieboliger,Lejlighed,4,3734
22,1,Familieboliger,Lejlighed,1,2415
22,1,Familieboliger,Lejlighed,2,3030
22,1,Familieboliger,Lejlighed,3,1787
22,1,Familieboliger,Lejlighed,4,1535
23,1,Familieboliger,Lejlighed,1,2875
23,1,Familieboliger,Lejlighed,2,13869
23,1,Familieboliger,Lejlighed,3,3292
23,1,Familieboliger,Lejlighed,4,2286
24,1,Familieboliger,Lejlighed,1,3649
24,1,Familieboliger,Lejlighed,2,4745
24,1,Familieboliger,Lejlighed,3,4280
24,1,Familieboliger,Lejlighed,4,4180
25,1,Familieboliger,Lejlighed,1,2703
25,1,Familieboliger,Lejlighed,2,7514
25,1,Familieboliger,Lejlighed,3,2609
25,1,Familieboliger,Lejlighed,4,2029
26,1,Familieboliger,Lejlighed,3,3374
26,1,Familieboliger,Lejlighed,4,2608
27,1,Familieboliger,Lejlighed,1,1720
27,1,Familieboliger,Lejlighed,2,1365
27,1,Familieboliger,Lejlighed,3,1746
27,1,Familieboliger,Lejlighed,4,1245
28,1,Familieboliger,Lejlighed,1,2145
28,1,Familieboliger,Lejlighed,2,8046
28,1,Familieboliger,Lejlighed,3,6536
28,1,Familieboliger,Lejlighed,4,2032
29,1,Familieboliger,Lejlighed,2,1967
29,1,Familieboliger,Lejlighed,3,1500
29,1,Familieboliger,Lejlighed,4,1103
30,1,Familieboliger,Lejlighed,2,378
30,1,Familieboliger,Lejlighed,3,281
30,1,Familieboliger,Lejlighed,4,269
31,1,Familieboliger,Lejlighed,1,3238
31,1,Familieboliger,Lejlighed,2,845
31,1,Familieboliger,Lejlighed,3,1762
31,1,Familieboliger,Lejlighed,4,521
32,1,Familieboliger,Rækkehus,2,451
32,1,Familieboliger,Rækkehus,3,508
33,1,Familieboliger,Lejlighed,1,3762
33,1,Familieboliger,Lejlighed,2,2832
33,1,Familieboliger,Lejlighed,3,3363
